Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_1123800	22803	26697	25565
PBANKA_0413000	6168	9583	7992
PBANKA_1321400	10722	16665	16776
PBANKA_0701900	5503	5618	6530
PBANKA_0700400	36	101	122
PBANKA_1204300	5143	8438	6243
PBANKA_1409300	4039	6688	6408
PBANKA_1112900	3770	5268	4719
PBANKA_1314700	5632	7995	6835
PBANKA_1439500	588	1263	978
PBANKA_0305500	2302	3336	2561
PBANKA_1329500	16362	21224	18347
PBANKA_1019560	10	6	14
PBANKA_1005700	6597	9261	8369
PBANKA_0508300	4559	5044	4134
PBANKA_0908000	8659	11899	8930
PBANKA_1113700	14013	17469	14768
PBANKA_1365000	569	967	854
PBANKA_0610100	28560	36949	32089
PBANKA_1205300	7483	8809	8527
PBANKA_0315500	486	1050	770
PBANKA_1222200	767	1321	1033
PBANKA_0308600	12832	24591	18914
PBANKA_0818600	2741	5190	4986
PBANKA_0612700	5720	5937	5206
PBANKA_0214521	13	20	12
PBANKA_1104700	6710	9272	7635
PBANKA_1111700	1076	1428	1193
PBANKA_0601900	15482	22594	17802
PBANKA_0306300	1294	2838	2201
PBANKA_1347300	1714	2319	2143
PBANKA_1006000	744	2092	1437
PBANKA_0925400	107607	155845	133807
PBANKA_1035800	4447	5937	4848
PBANKA_0813700	233	344	270
PBANKA_1134200	615	1689	1256
PBANKA_1315100	4680	7110	5505
PBANKA_0800500	796	1484	1488
PBANKA_1462800	2197	3451	3170
PBANKA_1363500	5485	7291	5866
PBANKA_0944101	109	287	203
PBANKA_1414600	10330	14140	11671
PBANKA_0001401	8	19	20
PBANKA_1358700	9614	13947	11197
PBANKA_1318500	62529	79938	65811
PBANKA_1320600	494	1137	801
PBANKA_0416600	22810	35028	32391
PBANKA_1300061	2	2	1
PBANKA_1240000	12422	16424	14972
PBANKA_1334600	4337	6246	5968
PBANKA_0615800	45170	58597	49039
PBANKA_1457550	162	231	209
PBANKA_0926700	31034	44787	41104
PBANKA_0201250	3627	5443	4348
PBANKA_0925300	21609	29747	27317
PBANKA_1039800	778	1650	1183
PBANKA_0417400	20057	25498	20630
PBANKA_1103900	5343	6282	5004
PBANKA_1246981	3	10	15
PBANKA_0402100	28048	34378	30619
PBANKA_0508100	113917	158842	139592
PBANKA_1350700	2534	5114	4120
PBANKA_0001301	1	2	3
PBANKA_0207100	2398	3250	2882
PBANKA_1358100	793	1921	1320
PBANKA_0927300	4784	5556	6178
PBANKA_1339700	3678	5147	4030
PBANKA_1423800	3119	5066	4083
PBANKA_0832700	18193	22167	18887
PBANKA_0810000	3095	3678	3438
PBANKA_1354400	25622	42458	35789
PBANKA_0944000	185	390	375
PBANKA_1464400	885	1432	1136
PBANKA_1362100	15926	20065	16767
PBANKA_1436400	1777	2402	2150
PBANKA_0618400	7112	10637	7744
PBANKA_0800400	6697	11595	10261
PBANKA_0407000	631	1317	868
PBANKA_0912300	15122	25723	19940
